Ticker,Name,Sector,Weight(%)
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,0.11
CTVA,CORTEVA INC,Materials,0.11
FNF,FIDELITY NATIONAL FINANCIAL INC,Financials,0.11
DHI,D R HORTON INC,Consumer Discretionary,0.11
GRMN,GARMIN LTD,Consumer Discretionary,0.11
USD,USD CASH,Cash and/or Derivatives,0.11
NUE,NUCOR CORP,Materials,0.11
SNA,SNAP ON INC,Industrials,0.11
TSCO,TRACTOR SUPPLY,Consumer Discretionary,0.11
NTAP,NETAPP INC,Information Technology,0.10
HUM,HUMANA INC,Health Care,0.10
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,0.10
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,0.10
SYF,SYNCHRONY FINANCIAL,Financials,0.10
COR,CENCORA INC,Health Care,0.09
MCK,MCKESSON CORP,Health Care,0.09
NDAQ,NASDAQ INC,Financials,0.09
WTW,WILLIS TOWERS WATSON PLC,Financials,0.09
EG,EVEREST GROUP LTD,Financials,0.09
WSO,WATSCO INC,Industrials,0.09
NRG,NRG ENERGY INC,Utilities,0.09
RPRX,ROYALTY PHARMA PLC CLASS A,Health Care,0.09
EMN,EASTMAN CHEMICAL,Materials,0.09
GWW,WW GRAINGER INC,Industrials,0.08
VST,VISTRA CORP,Utilities,0.08
XYL,XYLEM INC,Industrials,0.08
CDW,CDW CORP,Information Technology,0.08
OGE,OGE ENERGY CORP,Utilities,0.08
DGX,QUEST DIAGNOSTICS INC,Health Care,0.08
RJF,RAYMOND JAMES INC,Financials,0.08
OVV,OVINTIV INC,Energy,0.08
HRL,HORMEL FOODS CORP,Consumer Staples,0.08
WTRG,ESSENTIAL UTILITIES INC,Utilities,0.08
ROP,ROPER TECHNOLOGIES INC,Information Technology,0.08
UNM,UNUM,Financials,0.07
RMD,RESMED INC,Health Care,0.07
EWBC,EAST WEST BANCORP INC,Financials,0.07
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,0.07
CHD,CHURCH AND DWIGHT INC,Consumer Staples,0.07
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,0.07
HUBB,HUBBELL INC,Industrials,0.07
EQH,EQUITABLE HOLDINGS INC,Financials,0.07
DKS,DICKS SPORTING INC,Consumer Discretionary,0.07
AVY,AVERY DENNISON CORP,Materials,0.07
DOV,DOVER CORP,Industrials,0.07
A,AGILENT TECHNOLOGIES INC,Health Care,0.07
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,0.06
ORI,OLD REPUBLIC INTERNATIONAL CORP,Financials,0.06
MOS,MOSAIC,Materials,0.06
ZION,ZIONS BANCORPORATION,Financials,0.06
AME,AMETEK INC,Industrials,0.06
RGA,REINSURANCE GROUP OF AMERICA INC,Financials,0.06
RPM,RPM INTERNATIONAL INC,Materials,0.06
CFR,CULLEN FROST BANKERS INC,Financials,0.06
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,0.06
JEF,JEFFERIES FINANCIAL GROUP INC,Financials,0.06
STLD,STEEL DYNAMICS INC,Materials,0.06
MAS,MASCO CORP,Industrials,0.06
VMC,VULCAN MATERIALS,Materials,0.06
AFG,AMERICAN FINANCIAL GROUP INC,Financials,0.06
STE,STERIS,Health Care,0.05
RS,RELIANCE STEEL & ALUMINUM,Materials,0.05
PB,PROSPERITY BANCSHARES INC,Financials,0.05
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,0.05
VRSK,VERISK ANALYTICS INC,Industrials,0.05
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,0.05
FAF,FIRST AMERICAN FINANCIAL CORP,Financials,0.05
SNV,SYNOVUS FINANCIAL CORP,Financials,0.05
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,0.05
RHI,ROBERT HALF,Industrials,0.05
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,0.05
HRB,H&R BLOCK INC,Consumer Discretionary,0.05
INGR,INGREDION INC,Consumer Staples,0.05
IEX,IDEX CORP,Industrials,0.05
NFG,NATIONAL FUEL GAS,Utilities,0.05
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,0.05
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,0.05
OC,OWENS CORNING,Industrials,0.05
MLM,MARTIN MARIETTA MATERIALS INC,Materials,0.05
IDA,IDACORP INC,Utilities,0.04
NJR,NEW JERSEY RESOURCES CORP,Utilities,0.04
VOYA,VOYA FINANCIAL INC,Financials,0.04
BPOP,POPULAR INC,Financials,0.04
OZK,BANK OZK,Financials,0.04
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,0.04
SF,STIFEL FINANCIAL CORP,Financials,0.04
GGG,GRACO INC,Industrials,0.04
SCI,SERVICE,Consumer Discretionary,0.04
POOL,POOL CORP,Consumer Discretionary,0.04
ALB,ALBEMARLE CORP,Materials,0.04
HOMB,HOME BANCSHARES INC,Financials,0.04
CSL,CARLISLE COMPANIES INC,Industrials,0.04
WAL,WESTERN ALLIANCE,Financials,0.04
SSB,SOUTHSTATE CORP,Financials,0.04
ALLE,ALLEGION PLC,Industrials,0.04
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,0.04
TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,0.04
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,0.04
AOS,A O SMITH CORP,Industrials,0.04
PHM,PULTEGROUP INC,Consumer Discretionary,0.04
TXNM,TXNM ENERGY INC,Utilities,0.04
AIZ,ASSURANT INC,Financials,0.04
LECO,LINCOLN ELECTRIC HOLDINGS INC,Industrials,0.04
PRGO,PERRIGO PLC,Health Care,0.04
RDN,RADIAN GROUP INC,Financials,0.04
BRO,BROWN & BROWN INC,Financials,0.04
J,JACOBS SOLUTIONS INC,Industrials,0.04
PNR,PENTAIR,Industrials,0.04
OGS,ONE GAS INC,Utilities,0.04
R,RYDER SYSTEM INC,Industrials,0.03
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,0.03
MTG,MGIC INVESTMENT CORP,Financials,0.03
TTC,TORO,Industrials,0.03
LII,LENNOX INTERNATIONAL INC,Industrials,0.03
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,0.03
NDSN,NORDSON CORP,Industrials,0.03
CBSH,COMMERCE BANCSHARES INC,Financials,0.03
ERIE,ERIE INDEMNITY CLASS A,Financials,0.03
WTFC,WINTRUST FINANCIAL CORP,Financials,0.03
XRAY,DENTSPLY SIRONA INC,Health Care,0.03
THG,HANOVER INSURANCE GROUP INC,Financials,0.03
PRI,PRIMERICA INC,Financials,0.03
ESNT,ESSENT GROUP LTD,Financials,0.03
NVT,NVENT ELECTRIC PLC,Industrials,0.03
DCI,DONALDSON INC,Industrials,0.03
HLI,HOULIHAN LOKEY INC CLASS A,Financials,0.03
AVT,AVNET INC,Information Technology,0.03
EVR,EVERCORE INC CLASS A,Financials,0.03
KTB,KONTOOR BRANDS INC,Consumer Discretionary,0.03
ATR,APTARGROUP INC,Materials,0.03
MKTX,MARKETAXESS HOLDINGS INC,Financials,0.03
OSK,OSHKOSH CORP,Industrials,0.03
FBIN,FORTUNE BRANDS INNOVATIONS INC,Industrials,0.03
GNTX,GENTEX CORP,Consumer Discretionary,0.03
SEIC,SEI INVESTMENTS,Financials,0.03
UCB,UNITED COMMUNITY BANKS INC,Financials,0.03
ITT,ITT INC,Industrials,0.02
BC,BRUNSWICK CORP,Consumer Discretionary,0.02
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials,0.02
CATY,CATHAY GENERAL BANCORP,Financials,0.02
GL,GLOBE LIFE INC,Financials,0.02
MDU,MDU RESOURCES GROUP INC,Utilities,0.02
THO,THOR INDUSTRIES INC,Consumer Discretionary,0.02
WRB,WR BERKLEY CORP,Financials,0.02
WMG,WARNER MUSIC GROUP CORP CLASS A,Communication,0.02
TPL,TEXAS PACIFIC LAND CORP,Energy,0.02
G,GENPACT LTD,Industrials,0.02
RGLD,ROYAL GOLD INC,Materials,0.02
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Industrials,0.02
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,0.02
FBP,FIRST BANCORP,Financials,0.02
SGAFT,CASH COLLATERAL USD SGAFT,Cash and/or Derivatives,0.02
RRX,REGAL REXNORD CORP,Industrials,0.02
PAG,PENSKE AUTOMOTIVE GROUP VOTING INC,Consumer Discretionary,0.02
TKR,TIMKEN,Industrials,0.02
NSP,INSPERITY INC,Industrials,0.02
AL,AIR LEASE CORP CLASS A,Industrials,0.02
WD,WALKER & DUNLOP INC,Financials,0.02
BWXT,BWX TECHNOLOGIES INC,Industrials,0.02
ALSN,ALLISON TRANSMISSION HOLDINGS INC,Industrials,0.02
KBR,KBR INC,Industrials,0.02
CBT,CABOT CORP,Materials,0.02
UMBF,UMB FINANCIAL CORP,Financials,0.02
AVNT,AVIENT CORP,Materials,0.02
GATX,GATX CORP,Industrials,0.02
NYT,NEW YORK TIMES CLASS A,Communication,0.02
OTTR,OTTER TAIL CORP,Utilities,0.02
SNX,TD SYNNEX CORP,Information Technology,0.02
ASH,ASHLAND INC,Materials,0.02
RNR,RENAISSANCERE HOLDING LTD,Financials,0.02
CNO,CNO FINANCIAL GROUP INC,Financials,0.02
AWR,AMERICAN STATES WATER,Utilities,0.02
MSA,MSA SAFETY INC,Industrials,0.02
OLED,UNIVERSAL DISPLAY CORP,Information Technology,0.02
CASY,CASEYS GENERAL STORES INC,Consumer Staples,0.02
UFPI,UFP INDUSTRIES INC,Industrials,0.02
VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,Financials,0.02
AGO,ASSURED GUARANTY LTD,Financials,0.02
LANC,LANCASTER COLONY CORP,Consumer Staples,0.02
CWT,CALIFORNIA WATER SERVICE GROUP,Utilities,0.02
HLNE,HAMILTON LANE INC CLASS A,Financials,0.02
AGCO,AGCO CORP,Industrials,0.02
CADE,CADENCE BANK,Financials,0.02
NEU,NEWMARKET CORP,Materials,0.02
WLK,WESTLAKE CORP,Materials,0.02
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,0.02
MGEE,MGE ENERGY INC,Utilities,0.02
LFUS,LITTELFUSE INC,Information Technology,0.02
SFBS,SERVISFIRST BANCSHARES INC,Financials,0.02
LPX,LOUISIANA PACIFIC CORP,Materials,0.02
SHOO,STEVEN MADDEN LTD,Consumer Discretionary,0.02
SLGN,SILGAN HOLDINGS INC,Materials,0.02
PWR,QUANTA SERVICES INC,Industrials,0.02
TTEK,TETRA TECH INC,Industrials,0.01
FCFS,FIRSTCASH HOLDINGS INC,Financials,0.01
BOKF,BOK FINANCIAL CORP,Financials,0.01
CNS,COHEN & STEERS INC,Financials,0.01
ABM,ABM INDUSTRIES INC,Industrials,0.01
LAD,LITHIA MOTORS INC CLASS A,Consumer Discretionary,0.01
IPAR,INTERPARFUMS INC,Consumer Staples,0.01
EXPO,EXPONENT INC,Industrials,0.01
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,0.01
CGNX,COGNEX CORP,Information Technology,0.01
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,0.01
RLI,RLI CORP,Financials,0.01
POWI,POWER INTEGRATIONS INC,Information Technology,0.01
FIX,COMFORT SYSTEMS USA INC,Industrials,0.01
BANF,BANCFIRST CORP,Financials,0.01
MATX,MATSON INC,Industrials,0.01
JJSF,J AND J SNACK FOODS CORP,Consumer Staples,0.01
LSTR,LANDSTAR SYSTEM INC,Industrials,0.01
FUL,HB FULLER,Materials,0.01
WDFC,WD-40,Consumer Staples,0.01
BRC,BRADY NONVOTING CORP CLASS A,Industrials,0.01
MORN,MORNINGSTAR INC,Financials,0.01
VMI,VALMONT INDS INC,Industrials,0.01
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,0.01
TEX,TEREX CORP,Industrials,0.01
FELE,FRANKLIN ELECTRIC INC,Industrials,0.01
SSD,SIMPSON MANUFACTURING INC,Industrials,0.01
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials,0.01
WMS,ADVANCED DRAINAGE SYSTEMS INC,Industrials,0.01
MWA,MUELLER WATER PRODUCTS INC SERIES,Industrials,0.01
BMI,BADGER METER INC,Information Technology,0.01
